epoch,time(sec),loss,accuracy,val_loss,val_accuracy
1,209,2.2973,0.1113,2.2811,0.1824
2,209,2.2807,0.1439,2.2601,0.3057
3,220,2.2633,0.1724,2.2359,0.3891
4,209,2.2414,0.1962,2.2059,0.4310
5,207,2.2148,0.2201,2.1691,0.4707
6,213,2.1837,0.2436,2.1247,0.5200
7,206,2.1501,0.2624,2.0738,0.5675
8,207,2.1076,0.2856,2.0146,0.6089
9,215,2.0654,0.3070,1.9484,0.6454
10,206,2.0154,0.3307,1.8746,0.6733
11,206,1.9630,0.3557,1.7963,0.6999
12,219,1.9046,0.3800,1.7122,0.7229
13,209,1.8455,0.4036,1.6265,0.7426
14,213,1.7909,0.4193,1.5406,0.7569
15,212,1.7317,0.4425,1.4566,0.7725
16,207,1.6734,0.4623,1.3741,0.7847
17,211,1.6244,0.4759,1.2972,0.7961
18,221,1.5726,0.4943,1.2220,0.8042
19,207,1.5229,0.5096,1.1540,0.8122
20,215,1.4759,0.5238,1.0909,0.8181
21,211,1.4324,0.5387,1.0326,0.8241
22,208,1.3842,0.5540,0.9751,0.8333
23,214,1.3478,0.5638,0.9254,0.8387
24,207,1.3108,0.5734,0.8811,0.8433
25,207,1.2762,0.5865,0.8390,0.8507
26,216,1.2483,0.5974,0.8023,0.8538
27,207,1.2157,0.6040,0.7668,0.8559
28,207,1.1812,0.6165,0.7349,0.8596
29,217,1.1578,0.6248,0.7064,0.8623
30,210,1.1331,0.6328,0.6806,0.8646
31,207,1.1025,0.6407,0.6548,0.8678
32,213,1.0795,0.6500,0.6328,0.8705
33,207,1.0612,0.6552,0.6137,0.8723
34,208,1.0441,0.6629,0.5954,0.8757
35,214,1.0224,0.6689,0.5775,0.8763
36,206,1.0014,0.6759,0.5615,0.8774
37,212,0.9854,0.6801,0.5468,0.8787
38,211,0.9725,0.6850,0.5334,0.8810
39,209,0.9581,0.6892,0.5205,0.8825
40,213,0.9490,0.6938,0.5089,0.8840
41,206,0.9280,0.7013,0.4975,0.8851
42,207,0.9179,0.7032,0.4870,0.8865
43,217,0.9020,0.7095,0.4764,0.8873
44,207,0.8869,0.7121,0.4663,0.8885
45,206,0.8815,0.7154,0.4584,0.8897
46,216,0.8682,0.7210,0.4506,0.8907
47,208,0.8596,0.7228,0.4437,0.8915
48,210,0.8415,0.7282,0.4354,0.8931
49,213,0.8322,0.7325,0.4281,0.8929
50,207,0.8282,0.7333,0.4212,0.8942
51,207,0.8124,0.7420,0.4155,0.8951
52,215,0.8105,0.7400,0.4095,0.8962
53,207,0.8024,0.7446,0.4039,0.8967
54,208,0.7923,0.7482,0.3987,0.8977
55,223,0.7817,0.7501,0.3937,0.8979
56,208,0.7805,0.7517,0.3894,0.8999
57,216,0.7723,0.7562,0.3850,0.9013
58,207,0.7659,0.7565,0.3808,0.9022
59,206,0.7536,0.7601,0.3759,0.9024
60,215,0.7471,0.7616,0.3727,0.9034
61,206,0.7387,0.7646,0.3680,0.9036
62,206,0.7399,0.7643,0.3643,0.9052
63,215,0.7313,0.7679,0.3601,0.9054
64,208,0.7267,0.7703,0.3559,0.9060
65,208,0.7226,0.7726,0.3530,0.9060
66,216,0.7135,0.7758,0.3504,0.9069
67,207,0.7095,0.7763,0.3474,0.9071
68,207,0.7013,0.7790,0.3437,0.9073
69,215,0.6990,0.7802,0.3412,0.9079
70,206,0.6919,0.7823,0.3380,0.9083
71,207,0.6864,0.7833,0.3355,0.9084
72,218,0.6904,0.7811,0.3335,0.9090
73,207,0.6792,0.7843,0.3307,0.9093
74,210,0.6717,0.7890,0.3278,0.9099
75,212,0.6732,0.7882,0.3252,0.9112
76,207,0.6664,0.7945,0.3240,0.9108
77,214,0.6612,0.7933,0.3214,0.9108
78,208,0.6618,0.7931,0.3194,0.9120
79,206,0.6611,0.7933,0.3178,0.9121
80,216,0.6497,0.7975,0.3152,0.9131
81,208,0.6470,0.7988,0.3135,0.9136
82,206,0.6468,0.8000,0.3120,0.9138
83,216,0.6466,0.7999,0.3108,0.9145
84,208,0.6394,0.8014,0.3083,0.9145
85,207,0.6321,0.8027,0.3069,0.9143
86,216,0.6308,0.8037,0.3045,0.9153
87,207,0.6325,0.8013,0.3026,0.9160
88,207,0.6238,0.8079,0.3012,0.9162
89,220,0.6216,0.8083,0.2990,0.9161
90,213,0.6105,0.8101,0.2969,0.9161
91,210,0.6120,0.8106,0.2955,0.9165
92,216,0.6083,0.8111,0.2944,0.9166
93,208,0.6041,0.8145,0.2923,0.9170
94,214,0.6030,0.8137,0.2909,0.9172
95,211,0.6057,0.8120,0.2903,0.9179
96,208,0.5983,0.8159,0.2882,0.9181
97,217,0.5962,0.8160,0.2869,0.9179
98,209,0.5925,0.8181,0.2858,0.9184
99,208,0.5932,0.8169,0.2847,0.9190
100,216,0.5895,0.8189,0.2836,0.9193
