epoch,time(sec),loss,accuracy,val_loss,val_accuracy
1,213,2.2810,0.1407,2.2446,0.3130
2,209,2.2203,0.2555,2.1684,0.5147
3,216,2.1405,0.3645,2.0647,0.6088
4,208,2.0311,0.4504,1.9244,0.6712
5,207,1.8876,0.5174,1.7455,0.7165
6,218,1.7214,0.5631,1.5388,0.7518
7,210,1.5427,0.6025,1.3272,0.7760
8,210,1.3787,0.6289,1.1389,0.7978
9,215,1.2316,0.6565,0.9830,0.8134
10,212,1.1134,0.6821,0.8617,0.8231
11,211,1.0241,0.6992,0.7690,0.8350
12,215,0.9552,0.7164,0.6989,0.8431
13,209,0.8913,0.7313,0.6428,0.8536
14,213,0.8442,0.7438,0.5985,0.8576
15,210,0.8023,0.7556,0.5624,0.8637
16,209,0.7702,0.7653,0.5329,0.8684
17,216,0.7391,0.7756,0.5074,0.8730
18,210,0.7141,0.7824,0.4866,0.8766
19,213,0.6922,0.7862,0.4684,0.8793
20,216,0.6693,0.7940,0.4521,0.8826
21,208,0.6528,0.7992,0.4376,0.8849
22,209,0.6359,0.8043,0.4253,0.8863
23,216,0.6217,0.8069,0.4138,0.8892
24,209,0.6085,0.8146,0.4036,0.8907
25,211,0.5930,0.8171,0.3942,0.8929
26,217,0.5815,0.8213,0.3860,0.8942
27,212,0.5746,0.8224,0.3789,0.8964
28,220,0.5622,0.8276,0.3712,0.8978
29,244,0.5504,0.8304,0.3646,0.8990
30,224,0.5394,0.8342,0.3578,0.9004
